"jlpt_level","word","reading","meanings","action_type","suggested_setting"
"N5","見せる","みせる","to show","social / dialogue action","general dialogue / flexible setting"
"N5","見る 観る","みる","to see; to watch","visible movement","general dialogue / flexible setting"
"N5","言う","いう","to say","social / dialogue action","general dialogue / flexible setting"
"N5","呼ぶ","よぶ","to call out; to invite","social / dialogue action","social encounter"
"N5","行く","いく","to go","state / thought / contextual verb","general dialogue / flexible setting"
"N5","降りる","おりる","to get off; to descend","state / thought / contextual verb","general dialogue / flexible setting"
"N5","降る","ふる","to fall; e.g. rain or snow","visible movement","general dialogue / flexible setting"
"N5","困る","こまる","to be worried","state / thought / contextual verb","general dialogue / flexible setting"
"N5","差す","さす","to stretch out hands; to raise an umbrella","visible movement","general dialogue / flexible setting"
"N5","座る","すわる","to sit","visible movement","general dialogue / flexible setting"
"N5","咲く","さく","to bloom","state / thought / contextual verb","general dialogue / flexible setting"
"N5","作る","つくる","to make","state / thought / contextual verb","general dialogue / flexible setting"
"N5","撮る","とる","to take a photo or record a film","visible movement","general dialogue / flexible setting"
"N5","散歩","さんぽする","to stroll","state / thought / contextual verb","general dialogue / flexible setting"
"N5","使う","つかう","to use","object / interface action","general dialogue / flexible setting"
"N5","始まる","はじまる","to begin","state / thought / contextual verb","general dialogue / flexible setting"
"N5","止まる","とまる","to come to a halt","state / thought / contextual verb","general dialogue / flexible setting"
"N5","死ぬ","しぬ","to die","state / thought / contextual verb","general dialogue / flexible setting"
"N5","持つ","もつ","to hold","visible movement","general dialogue / flexible setting"
"N5","借りる","かりる","to borrow","object / interface action","school / library"
"N5","取る","とる","to take something","visible movement","general dialogue / flexible setting"
"N5","終る","おわる","to finish","state / thought / contextual verb","general dialogue / flexible setting"
"N5","習う","ならう","to learn","state / thought / contextual verb","school / library"
"N5","住む","すむ","to live in","state / thought / contextual verb","general dialogue / flexible setting"
"N5","出かける","でかける","to go out","state / thought / contextual verb","general dialogue / flexible setting"
"N5","出す","だす","to put out","visible movement","general dialogue / flexible setting"
"N5","出る","でる","to appear; to leave","visible movement","general dialogue / flexible setting"
"N5","書く","かく","to write","visible movement","school / library"
"N5","消える","きえる","to disappear","state / thought / contextual verb","general dialogue / flexible setting"
"N5","消す","けす","to erase; to turn off power","visible movement","general dialogue / flexible setting"
"N5","上げる","あげる","to give","social / dialogue action","general dialogue / flexible setting"
"N5","乗る","のる","to get on; to ride","visible movement","station / street / travel"
"N5","食べる","たべる","to eat","visible movement","restaurant / kitchen"
"N5","寝る","ねる","to go to bed; to sleep","visible movement","home / inn"
"N5","吹く","ふく","to blow","state / thought / contextual verb","general dialogue / flexible setting"
"N5","晴れる","はれる","to be sunny","state / thought / contextual verb","general dialogue / flexible setting"
"N5","生まれる","うまれる","to be born","state / thought / contextual verb","general dialogue / flexible setting"
"N5","切る","きる","to cut","visible movement","restaurant / kitchen"
"N5","洗う","あらう","to wash","visible movement","home / inn"
"N5","掃除","そうじする","to clean; to sweep","visible movement","home / inn"
"N5","走る","はしる","to run","visible movement","street / park / outdoors"
"N5","待つ","まつ","to wait","state / thought / contextual verb","general dialogue / flexible setting"
"N5","貸す","かす","to lend","state / thought / contextual verb","general dialogue / flexible setting"
"N5","大好き","だいすき","to be very likeable","state / thought / contextual verb","general dialogue / flexible setting"
"N5","脱ぐ","ぬぐ","to take off clothes","visible movement","general dialogue / flexible setting"
"N5","弾く","ひく","to play an instrument with strings; including piano","state / thought / contextual verb","general dialogue / flexible setting"
"N5","知る","しる","to know","state / thought / contextual verb","general dialogue / flexible setting"
"N5","置く","おく","to put","visible movement","general dialogue / flexible setting"
"N5","着く","つく","to arrive at","state / thought / contextual verb","station / street / travel"
"N5","着る","きる","to put on from the shoulders down","visible movement","general dialogue / flexible setting"
"N5","締める","しめる","to tie","state / thought / contextual verb","general dialogue / flexible setting"
"N5","貼る","はる","to stick","state / thought / contextual verb","general dialogue / flexible setting"
"N5","渡す","わたす","to hand over","state / thought / contextual verb","general dialogue / flexible setting"
"N5","渡る","わたる","to go across","visible movement","station / street / travel"
"N5","登る","のぼる","to climb","visible movement","street / park / outdoors"
"N5","答える","こたえる","to answer","social / dialogue action","school / library"
"N5","働く","はたらく","to work","state / thought / contextual verb","office / workplace"
"N5","読む","よむ","to read","visible movement","school / library"
"N5","曇る","くもる","to become cloudy; to become dim","state / thought / contextual verb","general dialogue / flexible setting"
"N5","入る","はいる","to enter; to contain","visible movement","general dialogue / flexible setting"
"N5","入れる","いれる","to put in","visible movement","general dialogue / flexible setting"
"N5","買う","かう","to buy","object / interface action","shop / market"
"N5","売る","うる","to sell","object / interface action","shop / market"
"N5","疲れる","つかれる","to get tired","state / thought / contextual verb","general dialogue / flexible setting"
"N5","飛ぶ","とぶ","to fly; to hop","state / thought / contextual verb","general dialogue / flexible setting"
"N5","分かる","わかる","to be understood","state / thought / contextual verb","general dialogue / flexible setting"
"N5","聞く","きく","to hear; to listen to; to ask","visible movement","general dialogue / flexible setting"
"N5","並ぶ","ならぶ","to line up; to stand in a line","visible movement","general dialogue / flexible setting"
"N5","並べる","ならべる","to line up; to set up","state / thought / contextual verb","general dialogue / flexible setting"
"N5","閉まる","しまる","to close; to be closed","visible movement","home / inn"
"N5","閉める","しめる","to close something","visible movement","home / inn"
"N5","返す","かえす","to return something","visible movement","school / library"
"N5","勉強","べんきょうする","to study","state / thought / contextual verb","school / library"
"N5","歩く","あるく","to walk","visible movement","street / park / outdoors"
"N5","忘れる","わすれる","to forget","state / thought / contextual verb","general dialogue / flexible setting"
"N5","磨く","みがく","to brush teeth; to polish","state / thought / contextual verb","general dialogue / flexible setting"
"N5","無くす","なくす","to lose something","state / thought / contextual verb","general dialogue / flexible setting"
"N5","遊ぶ","あそぶ","to play; to make a visit","visible movement","general dialogue / flexible setting"
"N5","要る","いる","to need","state / thought / contextual verb","general dialogue / flexible setting"
"N5","来る","くる","to come","state / thought / contextual verb","general dialogue / flexible setting"
"N5","頼む","たのむ","to ask","social / dialogue action","general dialogue / flexible setting"
"N5","立つ","たつ","to stand","visible movement","general dialogue / flexible setting"
"N5","練習","れんしゅうする","to practice","state / thought / contextual verb","school / library"
"N5","話す","はなす","to speak","social / dialogue action","social encounter"
"N4","あいさつする","","to greet","social / dialogue action","social encounter"
"N4","あげる","","to give","social / dialogue action","general dialogue / flexible setting"
"N4","いじめる","","to tease","state / thought / contextual verb","general dialogue / flexible setting"
"N4","いらっしゃる","","(respectful) to be; to come or to go","state / thought / contextual verb","general dialogue / flexible setting"
"N4","うかがう","","to visit","visible movement","general dialogue / flexible setting"
"N4","かまう","","to mind","state / thought / contextual verb","general dialogue / flexible setting"
"N4","くれる","","to give","social / dialogue action","general dialogue / flexible setting"
"N4","けがする","","to injure","state / thought / contextual verb","clinic / emergency"
"N4","けんかする","","to quarrel","state / thought / contextual verb","general dialogue / flexible setting"
"N4","すく","","to become empty","object / interface action","general dialogue / flexible setting"
"N4","それほど","","to that extent","state / thought / contextual verb","general dialogue / flexible setting"
"N4","チェックする","","to check","object / interface action","general dialogue / flexible setting"
"N4","ぬれる","","to get wet","state / thought / contextual verb","general dialogue / flexible setting"
"N4","びっくりする","","to be surprised","state / thought / contextual verb","general dialogue / flexible setting"
"N4","ほめる","","to praise","social / dialogue action","social encounter"
"N4","もらう","","to receive","social / dialogue action","general dialogue / flexible setting"
"N4","案内","あんないする","to guide","social / dialogue action","general dialogue / flexible setting"
"N4","移る","うつる","to move house or transfer","visible movement","general dialogue / flexible setting"
"N4","育てる","そだてる","to rear; to bring up","state / thought / contextual verb","general dialogue / flexible setting"
"N4","引き出す","ひきだす","to withdraw","state / thought / contextual verb","general dialogue / flexible setting"
"N4","引っ越す","ひっこす","to move house","visible movement","general dialogue / flexible setting"
"N4","運ぶ","はこぶ","to transport","state / thought / contextual verb","general dialogue / flexible setting"
"N4","運転","うんてんする","to drive","visible movement","station / street / travel"
"N4","運動","うんどうする","to exercise","state / thought / contextual verb","general dialogue / flexible setting"
"N4","遠慮","えんりょする","to be reserved; to be restrained","object / interface action","station / street / travel"
"N4","汚れる","よごれる","to get dirty","state / thought / contextual verb","general dialogue / flexible setting"
"N4","下げる","さげる","to hang; to lower; to move back","visible movement","general dialogue / flexible setting"
"N4","下りる","おりる","to get off","state / thought / contextual verb","general dialogue / flexible setting"
"N4","下る","さがる","to get down; to descend","state / thought / contextual verb","general dialogue / flexible setting"
"N4","過ぎる","すぎる","to exceed","state / thought / contextual verb","general dialogue / flexible setting"
"N4","回る","まわる","to go around","state / thought / contextual verb","general dialogue / flexible setting"
"N4","壊す","こわす","to break","visible movement","general dialogue / flexible setting"
"N4","壊れる","こわれる","to be broken","state / thought / contextual verb","general dialogue / flexible setting"
"N4","開く","ひらく","to open an event","visible movement","home / inn"
"N4","楽む","たのしむ","to enjoy oneself","state / thought / contextual verb","general dialogue / flexible setting"
"N4","掛ける","かける","to hang something","state / thought / contextual verb","general dialogue / flexible setting"
"N4","割れる","われる","to break","visible movement","general dialogue / flexible setting"
"N4","滑る","すべる","to slide; to slip","state / thought / contextual verb","general dialogue / flexible setting"
"N4","噛む","かむ","to bite; to chew","state / thought / contextual verb","general dialogue / flexible setting"
"N4","乾く","かわく","to get dry","state / thought / contextual verb","general dialogue / flexible setting"
"N4","慣れる","なれる","to grow accustomed to","state / thought / contextual verb","general dialogue / flexible setting"
"N4","間に合う","まにあう","to be in time for","state / thought / contextual verb","general dialogue / flexible setting"
"N4","間違える","まちがえる","to make a mistake","visible movement","general dialogue / flexible setting"
"N4","喜ぶ","よろこぶ","to be delighted","state / thought / contextual verb","general dialogue / flexible setting"
"N4","寄る","よる","to visit","visible movement","general dialogue / flexible setting"
"N4","祈る","いのる","to pray","state / thought / contextual verb","general dialogue / flexible setting"
"N4","起す","おこす","to wake","visible movement","home / inn"
"N4","急ぐ","いそぐ","to hurry","state / thought / contextual verb","general dialogue / flexible setting"
"N4","泣く","なく","to weep","state / thought / contextual verb","general dialogue / flexible setting"
"N4","驚く","おどろく","to be surprised","state / thought / contextual verb","general dialogue / flexible setting"
"N4","空く","あく","to open; to become empty","visible movement","home / inn"
"N4","経験","けいけんする","to experience","state / thought / contextual verb","general dialogue / flexible setting"
"N4","計画","けいかくする","to plan","state / thought / contextual verb","general dialogue / flexible setting"
"N4","迎える","むかえる","to go out to meet","social / dialogue action","general dialogue / flexible setting"
"N4","決める","きめる","to decide","state / thought / contextual verb","general dialogue / flexible setting"
"N4","決る","きまる","to be decided","state / thought / contextual verb","general dialogue / flexible setting"
"N4","建てる","たてる","to build","visible movement","general dialogue / flexible setting"
"N4","見える","みえる","to be in sight","state / thought / contextual verb","general dialogue / flexible setting"
"N4","見つかる","みつかる","to be discovered","state / thought / contextual verb","general dialogue / flexible setting"
"N4","見つける","みつける","to discover","state / thought / contextual verb","general dialogue / flexible setting"
"N4","故障","こしょうする","to break-down","visible movement","general dialogue / flexible setting"
"N4","光る","ひかる","to shine; to glitter","state / thought / contextual verb","general dialogue / flexible setting"
"N4","向かう","むかう","to face","state / thought / contextual verb","general dialogue / flexible setting"
"N4","考える","かんがえる","to consider","state / thought / contextual verb","general dialogue / flexible setting"
"N4","行う","おこなう","to do","state / thought / contextual verb","general dialogue / flexible setting"
"N4","降り出す","ふりだす","to start to rain","state / thought / contextual verb","general dialogue / flexible setting"
"N4","合う","あう","to match","state / thought / contextual verb","general dialogue / flexible setting"
"N4","込む","こむ","to be crowded","state / thought / contextual verb","general dialogue / flexible setting"
"N4","済む","すむ","to finish","state / thought / contextual verb","general dialogue / flexible setting"
"N4","参る","まいる","(humble) to go; to come","state / thought / contextual verb","general dialogue / flexible setting"
"N4","残る","のこる","to remain","state / thought / contextual verb","general dialogue / flexible setting"
"N4","始める","はじめる","to begin","state / thought / contextual verb","general dialogue / flexible setting"
"N4","思い出す","おもいだす","to remember","state / thought / contextual verb","general dialogue / flexible setting"
"N4","思う","おもう","to think; to feel","state / thought / contextual verb","general dialogue / flexible setting"
"N4","支度","したくする","to prepare","object / interface action","general dialogue / flexible setting"
"N4","止む","やむ","to stop","visible movement","general dialogue / flexible setting"
"N4","止める","とめる","to stop something","visible movement","general dialogue / flexible setting"
"N4","似る","にる","to be similar","state / thought / contextual verb","general dialogue / flexible setting"
"N4","治る","なおる","to be cured; to heal","state / thought / contextual verb","clinic / emergency"
"N4","写す","うつす","to copy or photograph","object / interface action","office / workplace"
"N4","捨てる","すてる","to throw away","visible movement","general dialogue / flexible setting"
"N4","謝る","あやまる","to apologize","social / dialogue action","social encounter"
"N4","取り替える","とりかえる","to exchange","object / interface action","shop / market"
"N4","手伝う","てつだう","to assist","state / thought / contextual verb","general dialogue / flexible setting"
"N4","受ける","うける","to take a lesson or test","visible movement","general dialogue / flexible setting"
"N4","拾う","ひろう","to pick up; to gather","visible movement","general dialogue / flexible setting"
"N4","集める","あつめる","to collect something","state / thought / contextual verb","general dialogue / flexible setting"
"N4","集る","あつまる","to gather","state / thought / contextual verb","general dialogue / flexible setting"
"N4","出席","しゅっせきする","to attend","state / thought / contextual verb","general dialogue / flexible setting"
"N4","出発","しゅっぱつする","to depart","state / thought / contextual verb","station / street / travel"
"N4","準備","じゅんびする","to prepare","object / interface action","general dialogue / flexible setting"
"N4","勝つ","かつ","to win","state / thought / contextual verb","general dialogue / flexible setting"
"N4","承知","しょうちする","to consent","state / thought / contextual verb","general dialogue / flexible setting"
"N4","招待","しょうたいする","to invite","social / dialogue action","social encounter"
"N4","焼く","やく","to bake; to grill","state / thought / contextual verb","general dialogue / flexible setting"
"N4","焼ける","やける","to burn; to be roasted","state / thought / contextual verb","general dialogue / flexible setting"
"N4","笑う","わらう","to laugh; to smile","visible movement","general dialogue / flexible setting"
"N4","上る","あがる","to rise","state / thought / contextual verb","general dialogue / flexible setting"
"N4","乗り換える","のりかえる","to change between buses or trains","object / interface action","station / street / travel"
"N4","飾る","かざる","to decorate","state / thought / contextual verb","general dialogue / flexible setting"
"N4","植える","うえる","to plant; to grow","visible movement","street / park / outdoors"
"N4","触る","さわる","to touch","visible movement","general dialogue / flexible setting"
"N4","食事","しょくじする","to have a meal","state / thought / contextual verb","general dialogue / flexible setting"
"N4","心配","しんぱいする","to worry","state / thought / contextual verb","general dialogue / flexible setting"
"N4","申し上げる","もうしあげる","(humble) to say; to tell","social / dialogue action","general dialogue / flexible setting"
"N4","申す","もうす","(humble) to be called; to say","social / dialogue action","general dialogue / flexible setting"
"N4","進む","すすむ","to make progress","state / thought / contextual verb","general dialogue / flexible setting"
"N4","尋ねる","たずねる","to ask","social / dialogue action","general dialogue / flexible setting"
"N4","世話","せわする","to look after","visible movement","general dialogue / flexible setting"
"N4","生きる","いきる","to live","state / thought / contextual verb","general dialogue / flexible setting"
"N4","生活","せいかつする","to live","state / thought / contextual verb","general dialogue / flexible setting"
"N4","生産","せいさんする","to produce","state / thought / contextual verb","general dialogue / flexible setting"
"N4","折る","おる","to break or to fold","visible movement","general dialogue / flexible setting"
"N4","折れる","おれる","to break or be folded","visible movement","general dialogue / flexible setting"
"N4","選ぶ","えらぶ","to choose","object / interface action","shop / market"
"N4","痩せる","やせる","to become thin","state / thought / contextual verb","general dialogue / flexible setting"
"N4","相談","そうだんする","to discuss","state / thought / contextual verb","general dialogue / flexible setting"
"N4","送る","おくる","to send","object / interface action","general dialogue / flexible setting"
"N4","騒ぐ","さわぐ","to make noise; to be excited","state / thought / contextual verb","general dialogue / flexible setting"
"N4","増える","ふえる","to increase","state / thought / contextual verb","general dialogue / flexible setting"
"N4","足す","たす","to add a number","state / thought / contextual verb","general dialogue / flexible setting"
"N4","足りる","たりる","to be enough","state / thought / contextual verb","general dialogue / flexible setting"
"N4","続く","つづく","to be continued","state / thought / contextual verb","general dialogue / flexible setting"
"N4","続ける","つづける","to continue","state / thought / contextual verb","general dialogue / flexible setting"
"N4","太る","ふとる","to become fat","state / thought / contextual verb","general dialogue / flexible setting"
"N4","打つ","うつ","to hit","visible movement","general dialogue / flexible setting"
"N4","退院","たいいんする","to leave hospital","visible movement","general dialogue / flexible setting"
"N4","探す","さがす","to look for","visible movement","general dialogue / flexible setting"
"N4","知らせる","しらせる","to notify","state / thought / contextual verb","general dialogue / flexible setting"
"N4","遅れる","おくれる","to be late","state / thought / contextual verb","general dialogue / flexible setting"
"N4","調べる","しらべる","to investigate","state / thought / contextual verb","general dialogue / flexible setting"
"N4","直す","なおす","to fix; to repair","object / interface action","general dialogue / flexible setting"
"N4","直る","なおる","to be fixed; to be repaired","object / interface action","general dialogue / flexible setting"
"N4","通う","かよう","to commute","state / thought / contextual verb","general dialogue / flexible setting"
"N4","通る","とおる","to go through","state / thought / contextual verb","general dialogue / flexible setting"
"N4","漬ける","つける","to soak; to pickle","visible movement","general dialogue / flexible setting"
"N4","釣る","つる","to fish","state / thought / contextual verb","general dialogue / flexible setting"
"N4","伝える","つたえる","to report","social / dialogue action","office / workplace"
"N4","塗る","ぬる","to paint; to plaster","state / thought / contextual verb","general dialogue / flexible setting"
"N4","怒る","おこる","to get angry; to be angry","state / thought / contextual verb","general dialogue / flexible setting"
"N4","倒れる","たおれる","to break down","visible movement","general dialogue / flexible setting"
"N4","投げる","なげる","to throw or cast away","visible movement","general dialogue / flexible setting"
"N4","盗む","ぬすむ","to steal","state / thought / contextual verb","general dialogue / flexible setting"
"N4","踏む","ふむ","to step on","state / thought / contextual verb","general dialogue / flexible setting"
"N4","逃げる","にげる","to escape","visible movement","clinic / emergency"
"N4","動く","うごく","to move","visible movement","general dialogue / flexible setting"
"N4","届ける","とどける","to reach","state / thought / contextual verb","general dialogue / flexible setting"
"N4","入院","にゅういんする","to hospitalise","state / thought / contextual verb","general dialogue / flexible setting"
"N4","入学","にゅうがくする","to enter school or university","visible movement","general dialogue / flexible setting"
"N4","泊まる","とまる","to lodge at","state / thought / contextual verb","general dialogue / flexible setting"
"N4","比べる","くらべる","to compare","state / thought / contextual verb","general dialogue / flexible setting"
"N4","付く","つく","to be attached","object / interface action","general dialogue / flexible setting"
"N4","負ける","まける","to lose","state / thought / contextual verb","general dialogue / flexible setting"
"N4","払う","はらう","to pay","object / interface action","shop / market"
"N4","沸かす","わかす","to boil; to heat","visible movement","restaurant / kitchen"
"N4","沸く","わく","to boil; to grow hot; to get excited","state / thought / contextual verb","general dialogue / flexible setting"
"N4","聞こえる","きこえる","to be heard","state / thought / contextual verb","general dialogue / flexible setting"
"N4","別れる","わかれる","to separate","state / thought / contextual verb","general dialogue / flexible setting"
"N4","変える","かえる","to change","state / thought / contextual verb","general dialogue / flexible setting"
"N4","変わる","かわる","to change","state / thought / contextual verb","general dialogue / flexible setting"
"N4","片付ける","かたづける","to tidy up","state / thought / contextual verb","general dialogue / flexible setting"
"N4","捕まえる","つかまえる","to seize","state / thought / contextual verb","general dialogue / flexible setting"
"N4","暮れる","くれる","to get dark; to come to an end","state / thought / contextual verb","general dialogue / flexible setting"
"N4","包む","つつむ","to wrap","object / interface action","general dialogue / flexible setting"
"N4","放送","ほうそうする","to broadcast","state / thought / contextual verb","general dialogue / flexible setting"
"N4","訪ねる","たずねる","to visit","visible movement","general dialogue / flexible setting"
"N4","亡くなる","なくなる","to die","state / thought / contextual verb","general dialogue / flexible setting"
"N4","眠る","ねむる","to sleep","visible movement","home / inn"
"N4","無くなる","なくなる","to disappear; to get lost","state / thought / contextual verb","general dialogue / flexible setting"
"N4","鳴る","なる","to sound","state / thought / contextual verb","general dialogue / flexible setting"
"N4","戻る","もどる","to turn back","visible movement","general dialogue / flexible setting"
"N4","役に立つ","やくにたつ","to be helpful","social / dialogue action","general dialogue / flexible setting"
"N4","輸出","ゆしゅつする","to export","state / thought / contextual verb","general dialogue / flexible setting"
"N4","輸入","ゆにゅうする","to import","state / thought / contextual verb","general dialogue / flexible setting"
"N4","揺れる","ゆれる","to shake; to sway","visible movement","general dialogue / flexible setting"
"N4","踊る","おどる","to dance","visible movement","general dialogue / flexible setting"
"N4","落す","おとす","to drop","visible movement","general dialogue / flexible setting"
"N4","落る","おちる","to fall or drop","visible movement","general dialogue / flexible setting"
"N4","立てる","たてる","to stand something up","visible movement","general dialogue / flexible setting"
"N4","冷える","ひえる","to grow cold","state / thought / contextual verb","general dialogue / flexible setting"
"N4","連れる","つれる","to lead","state / thought / contextual verb","general dialogue / flexible setting"
"N3","あんなに","","to that extent; to that degree","state / thought / contextual verb","general dialogue / flexible setting"
"N3","うなる","","to groan; to moan","state / thought / contextual verb","general dialogue / flexible setting"
"N3","しまう","（終わる）","to finish; to close; to do something completely","visible movement","home / inn"
"N3","しゃべる","","to talk; to chat; to chatter","social / dialogue action","social encounter"
"N3","できる","（可能。出現。発生）","to be able to; to be ready; to occur","visible movement","school / library"
"N3","愛する","あいする","to love","state / thought / contextual verb","general dialogue / flexible setting"
"N3","握る","にぎる","to grasp; to seize; to mould sushi","visible movement","general dialogue / flexible setting"
"N3","扱う","あつかう","to handle; to deal with; to treat","visible movement","restaurant / kitchen"
"N3","囲む","かこむ","to surround; to encircle","state / thought / contextual verb","general dialogue / flexible setting"
"N3","為る","する","to change; to be of use; to reach to","object / interface action","general dialogue / flexible setting"
"N3","異なる","ことなる","to differ; to vary; to disagree","social / dialogue action","general dialogue / flexible setting"
"N3","移す","うつす","to remove; to transfer; to infect","visible movement","general dialogue / flexible setting"
"N3","育つ","そだつ","to raise (child); to be brought up; to grow (up)","state / thought / contextual verb","general dialogue / flexible setting"
"N3","引っ張る","ひっぱる","(1) to pull; to draw; to stretch; to drag; (2) to pull the ball (baseball)","visible movement","general dialogue / flexible setting"
"N3","隠す","かくす","to hide; to conceal","visible movement","general dialogue / flexible setting"
"N3","隠れる","かくれる","to hide; to be hidden; to conceal oneself; to disappear","visible movement","general dialogue / flexible setting"
"N3","越える","こえる","to exceed; to cross over; to cross","visible movement","station / street / travel"
"N3","越す","こす","to go over (e.g. with audience)","state / thought / contextual verb","general dialogue / flexible setting"
"N3","応じる","おうじる","to respond; to satisfy; to accept; to comply with; to apply for","state / thought / contextual verb","general dialogue / flexible setting"
"N3","横切る","よこぎる","to cross (e.g. arms); to traverse","visible movement","station / street / travel"
"N3","下さる","くださる","(hon) to give; to confer","social / dialogue action","general dialogue / flexible setting"
"N3","下す","おろす","to lower; to let go down","state / thought / contextual verb","general dialogue / flexible setting"
"N3","加える","くわえる","to append; to sum up; to add (up)","state / thought / contextual verb","general dialogue / flexible setting"
"N3","加わる","くわわる","to join in; to accede to; to increase; to gain in (influence)","state / thought / contextual verb","general dialogue / flexible setting"
"N3","稼ぐ","かせぐ","to earn income; to labor","state / thought / contextual verb","general dialogue / flexible setting"
"N3","過ごす","すごす","to pass; to spend; to go through; to tide over","state / thought / contextual verb","general dialogue / flexible setting"
"N3","解く","とく","to unfasten","state / thought / contextual verb","general dialogue / flexible setting"
"N3","解ける","とける","to come untied; to come apart","state / thought / contextual verb","general dialogue / flexible setting"
"N3","回す","まわす","to turn; to revolve","visible movement","general dialogue / flexible setting"
"N3","外す","はずす","to unfasten; to remove","visible movement","general dialogue / flexible setting"
"N3","確かめる","たしかめる","to ascertain","state / thought / contextual verb","general dialogue / flexible setting"
"N3","覚ます","さます","to awaken","visible movement","home / inn"
"N3","覚める","さめる","to wake; to wake up","visible movement","home / inn"
"N3","学ぶ","まなぶ","to study (in depth); to learn; to take lessons in","visible movement","school / library"
"N3","掛かる","かかる","to take (e.g. time; money; etc); to hang","visible movement","general dialogue / flexible setting"
"N3","割る","わる","to divide; to cut; to break; to halve","visible movement","restaurant / kitchen"
"N3","刈る","かる","to cut (hair); to mow (grass); to harvest","visible movement","restaurant / kitchen"
"N3","勧める","すすめる","to recommend; to advise; to encourage; to offer (wine)","social / dialogue action","general dialogue / flexible setting"
"N3","感じる","かんじる","to feel; to sense; to experience","state / thought / contextual verb","general dialogue / flexible setting"
"N3","換える","かえる","to exchange; to interchange; to substitute; to replace","visible movement","shop / market"
"N3","関する","かんする","to concern; to be related","state / thought / contextual verb","general dialogue / flexible setting"
"N3","含む","ふくむ","to hold in the mouth; to bear in mind","visible movement","general dialogue / flexible setting"
"N3","願う","ねがう","to desire; to wish; to request","social / dialogue action","general dialogue / flexible setting"
"N3","基づく","もとづく","to be grounded on; to be based on; to be due to; to originate from","state / thought / contextual verb","general dialogue / flexible setting"
"N3","気に入る","きにいる","to be pleased with; to suit","state / thought / contextual verb","general dialogue / flexible setting"
"N3","気付く","きづく","to notice; to recognize; to become aware of","state / thought / contextual verb","general dialogue / flexible setting"
"N3","起こる","おこる","to occur; to happen","state / thought / contextual verb","general dialogue / flexible setting"
"N3","輝く","かがやく","to shine; to glitter; to sparkle","state / thought / contextual verb","general dialogue / flexible setting"
"N3","疑う","うたがう","to doubt; to distrust; to be suspicious of; to suspect","state / thought / contextual verb","general dialogue / flexible setting"
"N3","詰める","つめる","to pack; to shorten; to work out (details)","object / interface action","office / workplace"
"N3","逆らう","さからう","to go against; to oppose; to disobey; to defy","state / thought / contextual verb","general dialogue / flexible setting"
"N3","及ぼす","およぼす","to exert; to cause; to exercise","object / interface action","general dialogue / flexible setting"
"N3","救う","すくう","to rescue from; to help out of","social / dialogue action","clinic / emergency"
"N3","求める","もとめる","to seek; to request; to demand; to want; to wish for; to search for; to pursue (pleasure); to hunt (a job)","social / dialogue action","general dialogue / flexible setting"
"N3","去る","さる","to leave; to go away","visible movement","general dialogue / flexible setting"
"N3","居る","おる","to be (animate); to be; to exist","state / thought / contextual verb","general dialogue / flexible setting"
"N3","許す","ゆるす","to permit; to allow; to approve","social / dialogue action","office / workplace"
"N3","叫ぶ","さけぶ","to shout; to cry","visible movement","general dialogue / flexible setting"
